Month,Price
Dec-21,71.12
Nov-21,77.16
Oct-21,79.5
Sep-21,70.86
Aug-21,67.04
Jul-21,70.95
Jun-21,70.28
May-21,64.8
Apr-21,61.53
Mar-21,62.05
Feb-21,58.63
Jan-21,52.01
Dec-20,47.34
Nov-20,41.68
Oct-20,40.19
Sep-20,40.28
Aug-20,42.98
Jul-20,41.13
Jun-20,38.74
May-20,30.3
Apr-20,27.48
Mar-20,32.83
Feb-20,50.93
Jan-20,57.38
Dec-19,59.44
Nov-19,56.95
Oct-19,53.95
Sep-19,56.42
Aug-19,54.49
Jul-19,57.63
Jun-19,54.92
May-19,60.96
Apr-19,63.94
Mar-19,58.78
Feb-19,55.88
Jan-19,52.02
Dec-18,49.25
Nov-18,56.94
Oct-18,70.73
Sep-18,69.63
Aug-18,66.81
Jul-18,67.81
Jun-18,66.24
May-18,69.53
Apr-18,65.98
Mar-18,62.54
Feb-18,61.63
Jan-18,63.27
Dec-17,57.97
Nov-17,56.78
Oct-17,52.15
Sep-17,50.64
Aug-17,48.51
Jul-17,47.02
Jun-17,45.65
May-17,49.12
Apr-17,51.84
Mar-17,50.61
Feb-17,54.32
Jan-17,54.1
Dec-16,53.99
Nov-16,47.29
Oct-16,50.94
Sep-16,46.44
Aug-16,46.2
Jul-16,46.19
Jun-16,49.97
May-16,47.82
Apr-16,43.03
Mar-16,40.44
Feb-16,34.17
Jan-16,34.21
Dec-15,39.66
Nov-15,45.12
Oct-15,47.63
Sep-15,46.55
Aug-15,44.34
Jul-15,51.81
Jun-15,60.53
May-15,60.59
Apr-15,57.17
Mar-15,51.17
Feb-15,53.13
Jan-15,48.72
Dec-14,59.88
Nov-14,75.84
Oct-14,83.31
Sep-14,91.67
Aug-14,94.57
Jul-14,100.65
Jun-14,103.56
May-14,100.18
Apr-14,100.44
Mar-14,99.04
Feb-14,99.28
Jan-14,94.44
Dec-13,97.96
Nov-13,94.56
Oct-13,100.3
Sep-13,104.31
Aug-13,104.82
Jul-13,102.93
Jun-13,95.79
May-13,95.03
Apr-13,92.55
Mar-13,93.61
Feb-13,96.28
Jan-13,95.68
Dec-12,89.35
Nov-12,87.86
Oct-12,90.49
Sep-12,95.25
Aug-12,94.77
Jul-12,88.61
Jun-12,83.05
May-12,95.33
Apr-12,104.27
Mar-12,107.19
Feb-12,103.17
Jan-12,100.83
Dec-11,98.92
Nov-11,97.16
Oct-11,86.63
Sep-11,86.06
Aug-11,87.05
Jul-11,98.2
Jun-11,97.31
May-11,102.26
Apr-11,111.01
Mar-11,104.47
Feb-11,94.7
Jan-11,92.2
Dec-10,90.4
Nov-10,85.41
Oct-10,83.41
Sep-10,78.08
Aug-10,78.02
Jul-10,77.29
Jun-10,77.28
May-10,78.41
Apr-10,87.05
Mar-10,82.06
Feb-10,77.32
Jan-10,79.41
Dec-09,77.08
Nov-09,79.71
Oct-09,76.83
Sep-09,70.4
Aug-09,73.67
Jul-09,66.82
Jun-09,71.29
May-09,61
Apr-09,53.82
Mar-09,50.75
Feb-09,45.47
Jan-09,49.11
Dec-08,47.2
Nov-08,59.16
Oct-08,77.14
Sep-08,103.21
Aug-08,117.31
Jul-08,134.52
Jun-08,134.78
May-08,125.08
Apr-08,111.09
Mar-08,103.58
Feb-08,94.93
Jan-08,92.19
Dec-07,91.29
Nov-07,92.77
Oct-07,83.77
Sep-07,77.45
Aug-07,71.66
Jul-07,74
Jun-07,68.85
May-07,66.02
Apr-07,67.07
Mar-07,63.54
Feb-07,60.96
Jan-07,56.16
Dec-06,64.06
Nov-06,62.42
Oct-06,62.07
Sep-06,65.75
Aug-06,75.11
Jul-06,76.44
Jun-06,72.37
May-06,72.88
Apr-06,72.43
