Month,Price
Dec-21,2.243
Nov-21,2.379
Oct-21,2.506
Sep-21,2.198
Aug-21,2.073
Jul-21,2.13
Jun-21,2.123
May-21,2.02
Apr-21,1.864
Mar-21,1.855
Feb-21,1.776
Jan-21,1.579
Dec-20,1.452
Nov-20,1.25
Oct-20,1.158
Sep-20,1.141
Aug-20,1.259
Jul-20,1.248
Jun-20,1.164
May-20,0.953
Apr-20,0.914
Mar-20,1.176
Feb-20,1.62
Jan-20,1.855
Dec-19,1.987
Nov-19,1.92
Oct-19,1.915
Sep-19,1.931
Aug-19,1.836
Jul-19,1.928
Jun-19,1.857
May-19,2.033
Apr-19,2.063
Mar-19,1.99
Feb-19,1.961
Jan-19,1.845
Dec-18,1.785
Nov-18,2.038
Oct-18,2.336
Sep-18,2.254
Aug-18,2.158
Jul-18,2.144
Jun-18,2.148
May-18,2.21
Apr-18,2.066
Mar-18,1.938
Feb-18,1.936
Jan-18,2.068
Dec-17,1.949
Nov-17,1.921
Oct-17,1.801
Sep-17,1.782
Aug-17,1.632
Jul-17,1.532
Jun-17,1.433
May-17,1.52
Apr-17,1.596
Mar-17,1.543
Feb-17,1.651
Jan-17,1.658
Dec-16,1.68
Nov-16,1.484
Oct-16,1.582
Sep-16,1.447
Aug-16,1.434
Jul-16,1.41
Jun-16,1.509
May-16,1.428
Apr-16,1.259
Mar-16,1.205
Feb-16,1.056
Jan-16,1.018
Dec-15,1.209
Nov-15,1.447
Oct-15,1.525
Sep-15,1.56
Aug-15,1.542
Jul-15,1.695
Jun-15,1.896
May-15,1.966
Apr-15,1.845
Mar-15,1.764
Feb-15,1.858
Jan-15,1.646
Dec-14,1.977
Nov-14,2.39
Oct-14,2.528
Sep-14,2.751
Aug-14,2.858
Jul-14,2.898
Jun-14,2.966
May-14,2.927
Apr-14,2.949
Mar-14,2.935
Feb-14,3.003
Jan-14,2.958
Dec-13,3.036
Nov-13,2.942
Oct-13,2.99
Sep-13,3.052
Aug-13,3.077
Jul-13,3.019
Jun-13,2.89
May-13,2.881
Apr-13,2.88
Mar-13,3.022
Feb-13,3.139
Jan-13,3.045
Dec-12,2.992
Nov-12,3.021
Oct-12,3.122
Sep-12,3.144
Aug-12,3.062
Jul-12,2.814
Jun-12,2.617
May-12,2.923
Apr-12,3.161
Mar-12,3.237
Feb-12,3.18
Jan-12,3.039
Dec-11,2.91
Nov-11,3.067
Oct-11,2.957
Sep-11,2.942
Aug-11,2.96
Jul-11,3.09
Jun-11,2.992
May-11,2.976
Apr-11,3.22
Mar-11,3.058
Feb-11,2.783
Jan-11,2.613
Dec-10,2.499
Nov-10,2.354
Oct-10,2.279
Sep-10,2.132
Aug-10,2.077
Jul-10,2.034
Jun-10,2.067
May-10,2.066
Apr-10,2.252
Mar-10,2.106
Feb-10,1.996
Jan-10,2.071
Dec-09,2.02
Nov-09,2.058
Oct-09,1.984
Sep-09,1.792
Aug-09,1.912
Jul-09,1.698
Jun-09,1.827
May-09,1.531
Apr-09,1.397
Mar-09,1.305
Feb-09,1.275
Jan-09,1.464
Dec-08,1.448
Nov-08,1.875
Oct-08,2.269
Sep-08,2.952
Aug-08,3.218
Jul-08,3.813
Jun-08,3.837
May-08,3.63
Apr-08,3.154
Mar-08,2.93
Feb-08,2.628
Jan-08,2.551
Dec-07,2.575
Nov-07,2.61
Oct-07,2.317
Sep-07,2.213
Aug-07,2.017
Jul-07,2.098
Jun-07,1.999
May-07,1.887
Apr-07,1.867
Mar-07,1.741
Feb-07,1.693
Jan-07,1.571
Dec-06,1.765
Nov-06,1.751
Oct-06,1.738
Sep-06,1.811
Aug-06,2.089
Jul-06,2.069
Jun-06,2.012
May-06,2.01
Apr-06,1.991
Mar-06,1.788
Feb-06,1.716
Jan-06,1.817
Dec-05,1.781
Nov-05,1.789
Oct-05,1.972
Sep-05,2.032
Aug-05,1.867
Jul-05,1.697
Jun-05,1.633
May-05,1.421
Apr-05,1.517
Mar-05,1.509
Feb-05,1.316
Jan-05,1.316
Dec-04,1.305
Nov-04,1.411
Oct-04,1.495
Sep-04,1.271
Aug-04,1.195
Jul-04,1.11
Jun-04,1.007
May-04,1.014
Apr-04,0.915
Mar-04,0.903
Feb-04,0.887
Jan-04,0.964
Dec-03,0.905
Nov-03,0.85
Oct-03,0.834
Sep-03,0.757
Aug-03,0.833
Jul-03,0.794
Jun-03,0.766
May-03,0.724
Apr-03,0.712
Mar-03,0.85
Feb-03,0.981
Jan-03,0.88
Dec-02,0.822
Nov-02,0.721
Oct-02,0.784
Sep-02,0.794
Aug-02,0.724
Jul-02,0.692
Jun-02,0.658
May-02,0.674
Apr-02,0.673
Mar-02,0.64
Feb-02,0.548
Jan-02,0.541
Dec-01,0.548
Nov-01,0.568
Oct-01,0.643
Sep-01,0.73
Aug-01,0.745
Jul-01,0.709
Jun-01,0.764
May-01,0.776
Apr-01,0.744
Mar-01,0.705
Feb-01,0.756
Jan-01,0.805
Dec-00,0.895
Nov-00,0.999
Oct-00,0.971
Sep-00,0.987
Aug-00,0.883
Jul-00,0.785
Jun-00,0.779
May-00,0.724
Apr-00,0.651
Mar-00,0.702
Feb-00,0.724
Jan-00,0.704
Dec-99,0.667
Nov-99,0.65
Oct-99,0.595
Sep-99,0.611
